# SPDX-FileContributor: Verena Mühlberger <verena.muehlberger@uni-hamburg.de>
# SPDX-FileCopyrightText: 2023 Universität Hamburg
# SPDX-FileCopyrightText: 2023 Bundesministerium für Landwirtschaft und Ernährung
# SPDX-License-Identifier: LicenseRef-DL-DE-BY-2.0
# Comment: until 2015 the BLE uses Garnele (Crangon) as a synonym for Speisekrabbe (Crangon)
# Units are month in year, € kg^-1, € kg^-1, € kg^-1,
year_month,Crangon,Pleuronectes,Solea,
2015-06,3.83,1.31,9.52,
2015-07,3.43,1.27,11.32,
2015-08,3.68,1.37,13.1,
2015-09,3.37,1.31,10.05,
2015-10,3.71,1.21,9.52,
2015-11,5.05,1.45,10.64,
2015-12,6.11,1.46,11.82,
2016-01,5.96,0.94,7.78,
2016-02,7.86,1.3,9.33,
2016-03,9.39,0.77,,
2016-04,9.78,1.33,8.9,
2016-05,10.75,1.51,9.50,
2016-06,9.48,1.16,10.32,
2016-07,6.75,1.44,11.68,
2016-08,5.82,1.36,9.58,
2016-09,5.94,1.48,11.03,
2016-10,8.03,1.59,10.94,
2016-11,9.34,1.49,11.44,
2016-12,8.98,1.08,6.78,
2017-01,9.37,1.15,9.42,
2017-02,9.51,1.07,5.71,
2017-03,10.22,1.48,9.32,
2017-04,11.11,1.29,8.49,
2017-05,13.20,1.58,7.50,
2017-06,13.17,1.56,11.5,
2017-07,12.23,1.62,12.8,
2017-08,7.84,1.52,8.97,
2017-09,5.18,1.58,9.43,
2017-10,4.97,1.88,9.06,
2017-11,5.9,1.89,8.92,
2017-12,7.34,1.89,8.93,
2018-01,7.71,1.66,10.02,
2018-02,9.95,1.56,,
2018-03,10.27,1.24,,
2018-04,10.17,1.81,8.86,
2018-05,9.81,1.78,7.37,
2018-06,6.55,1.99,7.33,
2018-07,3.22,1.85,,
2018-08,3.07,2.07,12.57,
2018-09,3.21,2.12,11.01,
2018-10,2.99,2.45,11.04,
2018-11,3.58,2.35,10.31,
2018-12,2.88,1.88,10.88,
2019-01,2.84,1.78,9.08,
2019-02,2.84,1.8,10.09,
2019-03,2.93,2.22,9.46,
2019-04,2.8,1.95,11.48,
2019-05,2.79,1.74,5.57
2019-06,2.8,1.72,9.7,
2019-07,2.92,1.75,12.42,
2019-08,2.93,1.77,9.72,
2019-09,2.88,1.97,15.83,
2019-10,3.1,1.94,13.42,
2019-11,3.32,1.9,12.82,
2019-12,3.75,1.78,7.88,
2020-01,4.25,1.7,4.47,
2020-02,4.83,1.61,9.25,
2020-03,8.09,1.59,12.0,
2020-04,4.68,1.34,6.56,
2020-05,4.57,1.5,14.1,
2020-06,4.51,1.5,12.41,
2020-07,4.02,1.4,6.0,
2020-08,3.23,1.89,13.07,
2020-09,3.15,1.9,9.0,
2020-10,3.03,1.85,9.57,
2020-11,5.53,1.67,8.66,
2020-12,3.46,1.23,9.43,
2021-01,3.56,1.12,7.63,
2021-02,5.14,1.06,8.75,
2021-03,5.93,1.45,8.35,
2021-04,6.18,1.54,7.59,
2021-05,6.03,1.5,9.29,
2021-06,6.23,1.5,11.0,
2021-07,5.69,1.8,8.0,
2021-08,3.53,2.0,4.9,
2021-09,3.15,2.07,12.0,
2021-10,3.37,2.04,12.71,
2021-11,3.8,2.05,12.59,
2021-12,4.48,1.74,9.31,
2022-01,5.4,1.67,8.17,
2022-02,6.41,2.45,11.0,
2022-03,8.2,1.81,5.34,
2022-04,8.33,1.79,10.91,
2022-05,8.18,1.78,1.52,
2022-06,8.07,1.98,8.18,
2022-07,7.44,1.88,,
2022-08,5.49,2.12,,
2022-09,5.14,2.19,,
2022-10,4.75,0.96,,
2022-11,4.71,2.41,,
2022-12,4.81,1.83,,
2023-01,5.23,2.12,9.69,
2023-02,5.51,2.0,8.67,
